run,step,loss,gradient_norm,learning_rate
Pre-Norm · no warmup,1,4.167722702026367,0.6922261714935303,0.002
Pre-Norm · no warmup,2,3.9436941146850586,0.7242792248725891,0.002
Pre-Norm · no warmup,3,3.754549503326416,0.9229671359062195,0.002
Pre-Norm · no warmup,4,3.5781302452087402,0.934695839881897,0.002
Pre-Norm · no warmup,5,3.4018144607543945,0.9461381435394287,0.002
Pre-Norm · no warmup,6,3.257174253463745,1.0044852495193481,0.002
Pre-Norm · no warmup,7,3.1261143684387207,0.9286271929740906,0.002
Pre-Norm · no warmup,8,3.0038318634033203,0.926166296005249,0.002
Pre-Norm · no warmup,9,2.874826192855835,0.9128435850143433,0.002
Pre-Norm · no warmup,10,2.7687671184539795,0.9444401264190674,0.002
Pre-Norm · no warmup,11,2.648897409439087,0.9343377351760864,0.002
Pre-Norm · no warmup,12,2.547947883605957,0.9609302282333374,0.002
Pre-Norm · no warmup,13,2.4433348178863525,0.9144441485404968,0.002
Pre-Norm · no warmup,14,2.358628273010254,0.9382626414299011,0.002
Pre-Norm · no warmup,15,2.2488880157470703,0.919268786907196,0.002
Pre-Norm · no warmup,16,2.150684356689453,0.9090685844421387,0.002
Pre-Norm · no warmup,17,2.025710105895996,0.8990386128425598,0.002
Pre-Norm · no warmup,18,1.9349987506866455,0.8713139295578003,0.002
Pre-Norm · no warmup,19,1.8426225185394287,0.8514177799224854,0.002
Pre-Norm · no warmup,20,1.7602729797363281,0.8546785712242126,0.002
Pre-Norm · no warmup,21,1.6587780714035034,0.8290023803710938,0.002
Pre-Norm · no warmup,22,1.5696132183074951,0.8135112524032593,0.002
Pre-Norm · no warmup,23,1.479655146598816,0.8098973035812378,0.002
Pre-Norm · no warmup,24,1.377194881439209,0.8110437393188477,0.002
Pre-Norm · no warmup,25,1.3147048950195312,0.7798969745635986,0.002
Pre-Norm · no warmup,26,1.218601107597351,0.7480757236480713,0.002
Pre-Norm · no warmup,27,1.1531035900115967,0.737809419631958,0.002
Pre-Norm · no warmup,28,1.070573329925537,0.6989548206329346,0.002
Pre-Norm · no warmup,29,0.9907020926475525,0.6998314261436462,0.002
Pre-Norm · no warmup,30,0.9250034093856812,0.6524389982223511,0.002
Pre-Norm · no warmup,31,0.8531234264373779,0.6275293827056885,0.002
Pre-Norm · no warmup,32,0.7998117208480835,0.5975372791290283,0.002
Pre-Norm · no warmup,33,0.7292868494987488,0.569196343421936,0.002
Pre-Norm · no warmup,34,0.6850318312644958,0.5544382929801941,0.002
Pre-Norm · no warmup,35,0.628075122833252,0.5144896507263184,0.002
Pre-Norm · no warmup,36,0.5692368745803833,0.4870217740535736,0.002
Pre-Norm · no warmup,37,0.5316810607910156,0.4627027213573456,0.002
Pre-Norm · no warmup,38,0.48548874258995056,0.4373971223831177,0.002
Pre-Norm · no warmup,39,0.4459766149520874,0.4065079987049103,0.002
Pre-Norm · no warmup,40,0.4054487645626068,0.37682104110717773,0.002
Pre-Norm · no warmup,41,0.37665972113609314,0.3671954274177551,0.002
Pre-Norm · no warmup,42,0.33873045444488525,0.33873245120048523,0.002
Pre-Norm · no warmup,43,0.3089154064655304,0.3102230131626129,0.002
Pre-Norm · no warmup,44,0.28512394428253174,0.287553608417511,0.002
Pre-Norm · no warmup,45,0.2618418335914612,0.2720244228839874,0.002
Pre-Norm · no warmup,46,0.24204008281230927,0.25767606496810913,0.002
Pre-Norm · no warmup,47,0.21917031705379486,0.23702412843704224,0.002
Pre-Norm · no warmup,48,0.2037850320339203,0.22303493320941925,0.002
Pre-Norm · no warmup,49,0.18716180324554443,0.2078222930431366,0.002
Pre-Norm · no warmup,50,0.16867101192474365,0.19147233664989471,0.002
Pre-Norm · no warmup,51,0.15604202449321747,0.1762339025735855,0.002
Pre-Norm · no warmup,52,0.14563392102718353,0.16582787036895752,0.002
Pre-Norm · no warmup,53,0.13456657528877258,0.15512734651565552,0.002
Pre-Norm · no warmup,54,0.12490421533584595,0.1494612842798233,0.002
Pre-Norm · no warmup,55,0.11507298797369003,0.13365189731121063,0.002
Pre-Norm · no warmup,56,0.10633817315101624,0.12601183354854584,0.002
Pre-Norm · no warmup,57,0.09989660978317261,0.1204119324684143,0.002
Pre-Norm · no warmup,58,0.09324449300765991,0.11237646639347076,0.002
Pre-Norm · no warmup,59,0.0860024094581604,0.10626456141471863,0.002
Pre-Norm · no warmup,60,0.08107034862041473,0.09831923246383667,0.002
Pre-Norm · no warmup,61,0.07647605240345001,0.09492625296115875,0.002
Pre-Norm · no warmup,62,0.07107475399971008,0.08669770509004593,0.002
Pre-Norm · no warmup,63,0.06686677038669586,0.08207587897777557,0.002
Pre-Norm · no warmup,64,0.06375084817409515,0.0828661248087883,0.002
Pre-Norm · no warmup,65,0.0587586984038353,0.07410379499197006,0.002
Pre-Norm · no warmup,66,0.056042350828647614,0.0701066255569458,0.002
Pre-Norm · no warmup,67,0.0530291348695755,0.06673674285411835,0.002
Pre-Norm · no warmup,68,0.05076475068926811,0.06823372095823288,0.002
Pre-Norm · no warmup,69,0.04725595936179161,0.06071894243359566,0.002
Pre-Norm · no warmup,70,0.045296624302864075,0.05833616107702255,0.002
Pre-Norm · no warmup,71,0.04316183179616928,0.05566926673054695,0.002
Pre-Norm · no warmup,72,0.040945544838905334,0.05258795991539955,0.002
Pre-Norm · no warmup,73,0.038839131593704224,0.050088655203580856,0.002
Pre-Norm · no warmup,74,0.03714800626039505,0.04799969494342804,0.002
Pre-Norm · no warmup,75,0.0353936068713665,0.04582129791378975,0.002
Pre-Norm · no warmup,76,0.034004636108875275,0.044736746698617935,0.002
Pre-Norm · no warmup,77,0.032568033784627914,0.0424637496471405,0.002
Pre-Norm · no warmup,78,0.03119538351893425,0.040886327624320984,0.002
Pre-Norm · no warmup,79,0.029859282076358795,0.039620764553546906,0.002
Pre-Norm · no warmup,80,0.0286400243639946,0.03788698464632034,0.002
Pre-Norm · no warmup,81,0.027559097856283188,0.03694640100002289,0.002
Pre-Norm · no warmup,82,0.026499103754758835,0.03517969697713852,0.002
Pre-Norm · no warmup,83,0.025517350062727928,0.03411903232336044,0.002
